interval_half_width,channel_asymmetry,score_gradient_angle,clean_gradient_cosine_mean,cosine_gain_over_best_nonoracle_mean,false_positive_direction_rate,abstention_rate,worst_case_alignment_margin_mean,identified_set_diameter_mean,point_direction_difference_max
0.0,0.0,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.0,30.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.0,60.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.0,90.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.08,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.08,30.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.08,60.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.08,90.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.16,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.16,30.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.16,60.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.16,90.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.24,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.24,30.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.24,60.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.0,0.24,90.0,1.0,-8.881784197001253e-17,0.0,0.0,1.012247882497761,0.0,0.0
0.02,0.0,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.964247882497761,0.09599999999999996,1.2412670766236366e-16
0.02,0.0,30.0,0.9999430322984884,-5.696770151175645e-05,0.0,0.0,0.9689356459613989,0.08916670507945157,0.010810240846940046
0.02,0.0,60.0,0.9998503928352724,-0.0001496071647278274,0.0,0.0,0.9818062908268679,0.06997142273814366,0.01751559537352166
0.02,0.0,90.0,1.0,-4.4408920985006264e-17,0.0,0.0,0.9995199604364029,0.0891667050794515,1.6711069443220837e-15
0.02,0.08,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.9802478824977608,0.09600000000000009,1.1443916996305594e-16
0.02,0.08,30.0,0.9999754189207704,-1.89439243363676e-05,0.0,0.0,0.9833604333419063,0.08916670507945162,0.010497828099346825
0.02,0.08,60.0,0.9999348599725479,-4.981387453022457e-05,0.0,0.0,0.9919201828873921,0.06997142273814363,0.01715950699624896
0.02,0.08,90.0,1.0000000000000002,1.604282619187547e-05,0.0,0.0,1.0037626011235221,0.0891667050794515,0.005733295251056032
0.02,0.16,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.9962478824977609,0.09600000000000003,2.2887833992611187e-16
0.02,0.16,30.0,0.9999940313708879,1.5957545018241424e-05,0.0,0.0,0.9977980282167069,0.0891667050794515,0.010198520159989816
0.02,0.16,60.0,0.9999840436020216,4.413930743289996e-05,0.0,0.0,1.0020677174117976,0.06997142273814363,0.016813078040880003
0.02,0.16,90.0,1.0,6.363431879663484e-05,0.0,0.0,1.0080052418106416,0.08916670507945151,0.011417930950118045
0.02,0.24,0.0,1.0,-4.4408920985006264e-17,0.0,0.0,1.0122478824977608,0.09599999999999999,1.1102230246251565e-16
0.02,0.24,30.0,1.0,4.798985689158375e-05,0.0,0.0,1.0122478824977608,0.08916670507945149,0.009911607884738162
0.02,0.24,60.0,1.0,0.00013256928782974243,0.0,0.0,1.0122478824977608,0.06997142273814365,0.01647600959282496
0.02,0.24,90.0,1.0,0.00014197746550910219,0.0,0.0,1.0122478824977608,0.08916670507945154,0.01705411585973348
0.05,0.0,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.892247882497761,0.24000000000000005,1.3877787807814457e-16
0.05,0.0,30.0,0.9995910594247747,-0.0004089405752255804,0.0,0.0,0.9041990203602713,0.2229167626986288,0.028989690048233315
0.05,0.0,60.0,0.9989723486078826,-0.0010276513921175568,0.0,0.0,0.9367392393491691,0.17492855684535905,0.045933554616194125
0.05,0.0,90.0,1.0,-8.881784197001253e-17,0.0,0.0,0.9804280773443661,0.2229167626986288,5.721958498152797e-16
0.05,0.08,0.0,1.0000000000000002,0.0,0.0,0.0,0.932247882497761,0.24,1.2412670766236366e-16
0.05,0.08,30.0,0.9998318980130925,-0.0001343137887884538,0.0,0.0,0.9401268516415356,0.22291676269862887,0.026893864511517734
