context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
2,64,0.02,0.0,0,0.0,0.0,0.9999807047562671,0.7333333333333333,-1.9295243732853074e-05,-1.7529755008549584e-05,0.0,0.0,0.0075593788214346706,True
2,64,0.02,0.0,45,0.0,0.0,0.9999884643854949,0.8666666666666666,-1.1535614504998292e-05,-5.9455991425094725e-06,0.0,0.0,0.002504541709009355,True
2,64,0.02,0.0,90,0.0,0.0,0.9998951746971902,0.9333333333333333,-0.00010482530280961911,-5.314088352350588e-05,0.0,0.0,0.0059616660797868265,True
2,64,0.02,0.15,0,0.0,0.0,0.9999940495186896,0.7999999999999999,-4.726179506664429e-06,-4.254615858845234e-06,0.0,0.0,0.004956414044436621,True
2,64,0.02,0.15,45,0.0,0.0,0.9999785018995692,0.9333333333333332,-1.4001515421546706e-05,-4.547173822455619e-06,0.0,0.0,0.0027949018586583556,True
2,64,0.02,0.15,90,0.0,0.0,0.9999419065872595,0.9333333333333332,-2.4076375921100456e-05,-2.0317951570292257e-05,0.0,0.0,0.005165070138347059,True
2,64,0.02,0.3,0,0.0,0.0,0.9999796781117013,0.9333333333333332,-2.019855315882335e-05,-1.990114283565436e-05,0.0,0.0,0.00934717949320766,True
2,64,0.02,0.3,45,0.0,0.0,0.9999618703877047,1.0,-3.3139108028801266e-05,-3.0460658970965505e-05,0.0,0.0,0.006313680281126708,True
2,64,0.02,0.3,90,0.0,0.0,0.9999843716096253,1.0,-1.3029345802162418e-05,-1.0306253587200054e-05,0.0,0.0,0.0038734416169821794,True
2,64,0.05,0.0,0,0.0,0.0,0.9999797035144935,0.6666666666666666,-2.0296485506543504e-05,-1.838163227401157e-05,0.0,0.06666666666666667,0.008387364943019884,True
2,64,0.05,0.0,45,0.0,0.0,0.9999804224917778,0.6666666666666666,-1.9577508222212713e-05,-1.0960684762251206e-06,0.0,0.0,0.0031038668478443167,True
